Variant i,Variant j,Total Time,Summarization Time,Mapping Time,Number of Events,Average Number of Application,Average Number of Offer,Largest Type Object Set,Cost,Lane Optionality,n
0,1,0.2540800000000001,0.23610990000000065,0.017970099999999434,17,0.0,0.0,0,8,0,2
0,2,0.15683339999999824,0.14032079999999958,0.016512599999998656,18,0.0,0.0,0,4,0,2
0,3,0.2900122000000014,0.2684114000000015,0.021600799999999865,21,0.0,0.0,0,16,0,2
0,4,0.09304890000000121,0.07822130000000094,0.014827600000000274,15,0.0,0.0,0,4,0,2
0,5,0.18493840000000006,0.16707479999999997,0.01786360000000009,17,0.0,0.0,0,8,0,2
0,6,0.36722140000000003,0.34319520000000026,0.024026199999999776,24,0.0,0.0,0,20,0,2
0,7,0.21108919999999998,0.1928869000000013,0.018202299999998672,19,0.0,0.0,0,8,0,2
0,8,0.22403040000000374,0.20441120000000268,0.019619200000001058,18,0.0,0.0,0,12,0,2
0,9,0.13560710000000142,0.11947389999999913,0.01613320000000229,16,0.0,0.0,0,4,0,2
1,2,0.2568640000000002,0.23733879999999985,0.019525200000000353,21,0.0,0.0,0,6,0,2
1,3,0.34957280000000424,0.3249914000000018,0.024581400000002418,24,0.0,0.0,0,10,0,2
1,4,0.17365589999999642,0.15407209999999694,0.019583799999999485,18,0.0,0.0,0,4,0,2
1,5,0.2036285000000042,0.18244760000000326,0.021180900000000946,20,0.0,0.0,0,2,0,2
1,6,0.3947977999999992,0.295532699999999,0.09926510000000022,27,0.0,0.0,0,12,0,2
1,7,0.2409376000000023,0.21953200000000095,0.021405600000001357,22,0.0,0.0,0,2,0,2
1,8,0.26159489999999863,0.2391918000000004,0.022403099999998233,21,0.0,0.0,0,6,0,2
1,9,0.18838400000000277,0.16920290000000193,0.01918110000000084,19,0.0,0.0,0,4,0,2
2,3,0.2758324999999999,0.25216959999999844,0.023662900000001486,25,0.0,0.0,0,12,0,2
2,4,0.21158450000000073,0.19318580000000196,0.01839869999999877,19,0.0,0.0,0,8,0,2
2,5,0.19335179999999852,0.17315849999999955,0.02019329999999897,21,0.0,0.0,0,4,0,2
2,6,0.5347897999999986,0.5086379999999977,0.026151800000000947,28,0.0,0.0,0,18,0,2
2,7,0.2726546999999968,0.25229969999999824,0.02035499999999857,23,0.0,0.0,0,4,0,2
2,8,0.2323746999999976,0.2106318999999992,0.021742799999998397,22,0.0,0.0,0,8,0,2
2,9,0.19883969999999707,0.18075199999999825,0.01808769999999882,20,0.0,0.0,0,2,0,2
3,4,0.29507680000000036,0.2711700999999991,0.02390670000000128,22,0.0,0.0,0,12,0,2
3,5,0.275588299999999,0.25066839999999857,0.02491990000000044,24,0.0,0.0,0,8,0,2
3,6,0.5700687000000002,0.5394676999999994,0.030601000000000766,31,0.0,0.0,0,6,0,2
3,7,0.278606700000001,0.2537528999999985,0.02485380000000248,26,0.0,0.0,0,8,0,2
3,8,0.2807996999999993,0.25305119999999803,0.027748500000001286,25,0.0,0.0,0,4,0,2
3,9,0.41032630000000125,0.38771810000000073,0.022608200000000522,23,0.0,0.0,0,14,0,2
4,5,0.17652879999999982,0.15538740000000217,0.021141399999997645,18,0.0,0.0,0,4,0,2
4,6,0.37986079999999944,0.3549757999999983,0.024885000000001156,25,0.0,0.0,0,16,0,2
4,7,0.20388320000000348,0.18271000000000015,0.021173200000003334,20,0.0,0.0,0,4,0,2
4,8,0.23176879999999755,0.21027019999999652,0.021498600000001034,19,0.0,0.0,0,8,0,2
4,9,0.1880515000000038,0.17002820000000085,0.018023300000002962,17,0.0,0.0,0,8,0,2
5,6,0.48326399999999836,0.45611809999999764,0.027145900000000722,27,0.0,0.0,0,14,0,2
5,7,0.1832890999999961,0.16201269999999823,0.021276399999997864,22,0.0,0.0,0,0,0,2
5,8,0.23128329999999764,0.20857379999999992,0.022709499999997718,21,0.0,0.0,0,4,0,2
5,9,0.28831870000000137,0.268452700000001,0.019866000000000383,19,0.0,0.0,0,6,0,2
6,7,0.5439906000000008,0.5167767000000012,0.02721389999999957,29,0.0,0.0,0,14,0,2
6,8,0.48588069999999917,0.45657369999999986,0.029306999999999306,28,0.0,0.0,0,10,0,2
6,9,0.31370690000000323,0.288315800000003,0.025391100000000222,26,0.0,0.0,0,16,0,2
7,8,0.23303289999999777,0.20981829999999846,0.023214599999999308,23,0.0,0.0,0,4,0,2
7,9,0.2549030000000023,0.23527149999999963,0.01963150000000269,21,0.0,0.0,0,6,0,2
8,9,0.2538271999999999,0.23263610000000057,0.021191099999999352,20,0.0,0.0,0,10,0,2
0,1,0.43205520000000064,0.39299640000000124,0.039058799999999394,21,0.0,0.0,0,1,0,4
0,2,0.7917222000000024,0.7513193000000058,0.04040289999999658,24,0.0,0.0,0,1,0,4
0,3,0.3943823999999978,0.3610141999999996,0.03336819999999818,18,0.0,0.0,0,2,0,4
0,4,0.4708616999999933,0.43702649999999466,0.03383519999999862,20,0.0,0.0,0,1,0,4
0,5,0.8502514999999988,0.8088610000000003,0.04139049999999855,27,0.0,0.0,0,0,0,4
0,6,0.5651255999999947,0.5290156999999951,0.036109899999999584,22,0.0,0.0,0,1,0,4
0,7,0.5405199000000067,0.5022174000000064,0.03830250000000035,21,0.0,0.0,0,1,0,4
0,8,0.3347318999999942,0.30511199999999405,0.029619900000000143,19,0.0,0.0,0,0,0,4
0,9,0.9665546999999961,0.9292001999999968,0.03735449999999929,24,0.0,0.0,0,2,0,4
1,2,0.5220964000000095,0.4860670000000056,0.036029400000003875,25,0.0,0.0,0,0,0,4
1,3,0.30562679999999887,0.2770016999999996,0.028625099999999293,19,0.0,0.0,0,2,0,4
1,4,0.4275525999999985,0.3884429999999952,0.0391096000000033,21,0.0,0.0,0,0,0,4
1,5,0.745867600000004,0.707690300000003,0.03817730000000097,28,0.0,0.0,0,1,0,4
1,6,0.4160749999999922,0.384801699999997,0.031273299999995174,23,0.0,0.0,0,0,0,4
1,7,0.38462009999999935,0.35231909999999544,0.03230100000000391,22,0.0,0.0,0,0,0,4
1,8,0.3341780000000014,0.30798039999999816,0.026197600000003263,20,0.0,0.0,0,1,0,4
1,9,0.8583529999999939,0.7441340999999966,0.11421889999999735,25,0.0,0.0,0,2,0,4
2,3,0.5662492999999955,0.5296288999999987,0.03662039999999678,22,0.0,0.0,0,2,0,4
2,4,0.6879612000000037,0.649210200000006,0.03875099999999776,24,0.0,0.0,0,0,0,4
2,5,1.157020199999998,1.1108462999999986,0.046173899999999435,31,0.0,0.0,0,1,0,4
2,6,0.7894317000000015,0.7478116999999997,0.04162000000000177,26,0.0,0.0,0,0,0,4
2,7,0.6876786000000052,0.6455186000000026,0.04216000000000264,25,0.0,0.0,0,0,0,4
2,8,0.5199296999999987,0.48495779999999655,0.034971900000002165,23,0.0,0.0,0,1,0,4
2,9,1.2350952000000035,1.1938086999999982,0.04128650000000533,28,0.0,0.0,0,2,0,4
3,4,0.4016592999999986,0.3688320999999988,0.032827199999999834,18,0.0,0.0,0,2,0,4
3,5,0.6852352000000081,0.645307300000006,0.039927900000002126,25,0.0,0.0,0,2,0,4
3,6,0.5222254999999976,0.4902146999999957,0.03201080000000189,20,0.0,0.0,0,2,0,4
3,7,0.4582750999999945,0.4245927999999992,0.03368229999999528,19,0.0,0.0,0,2,0,4
3,8,0.27284079999999733,0.24405509999999708,0.028785700000000247,17,0.0,0.0,0,2,0,4
3,9,0.4045114000000041,0.3699900000000014,0.0345214000000027,22,0.0,0.0,0,4,0,4
4,5,1.0332164000000006,0.9881004000000004,0.045116000000000156,27,0.0,0.0,0,1,0,4
4,6,0.5152502999999982,0.47862690000000185,0.03662339999999631,22,0.0,0.0,0,0,0,4
4,7,0.5289465999999976,0.4932583999999949,0.03568820000000272,21,0.0,0.0,0,0,0,4
4,8,0.3435389999999998,0.3127972999999997,0.030741700000000094,19,0.0,0.0,0,1,0,4
4,9,0.9861256000000012,0.9428230000000042,0.04330259999999697,24,0.0,0.0,0,2,0,4
5,6,1.003348200000005,0.9615517000000011,0.04179650000000379,29,0.0,0.0,0,1,0,4
5,7,1.0933254999999988,1.049883599999994,0.04344190000000481,28,0.0,0.0,0,1,0,4
5,8,0.5368958000000035,0.4971154999999996,0.039780300000003876,26,0.0,0.0,0,0,0,4
5,9,1.5108207999999976,1.4604372000000012,0.05038359999999642,31,0.0,0.0,0,2,0,4
6,7,0.5294490999999795,0.492899599999987,0.03654949999999246,23,0.0,0.0,0,0,0,4
6,8,0.4887699000000083,0.4557261000000068,0.03304380000000151,21,0.0,0.0,0,1,0,4
6,9,0.973717999999991,0.9351186999999896,0.038599300000001335,26,0.0,0.0,0,2,0,4
7,8,0.3993150000000014,0.3677600000000041,0.031554999999997335,20,0.0,0.0,0,1,0,4
7,9,1.0655242999999928,1.026482999999999,0.03904129999999384,25,0.0,0.0,0,2,0,4
8,9,0.7022187999999971,0.669402599999998,0.032816199999999185,23,0.0,0.0,0,2,0,4
0,1,0.2137141999999983,0.19168620000000658,0.02202799999999172,25,0.0,0.0,0,4,0,2
0,2,0.1965494000000092,0.17527540000000386,0.021274000000005344,23,0.0,0.0,0,4,0,2
0,3,0.2775541999999973,0.2529526000000004,0.024601599999996893,26,0.0,0.0,0,8,0,2
0,4,0.26506969999999797,0.24371349999999836,0.021356199999999603,24,0.0,0.0,0,0,0,2
0,5,0.20808230000000094,0.18718659999998977,0.020895700000011175,27,0.0,0.0,0,4,0,2
0,6,0.22571599999999137,0.20546190000000308,0.020254099999988284,22,0.0,0.0,0,4,0,2
0,7,0.3769896000000017,0.3558304000000021,0.0211591999999996,25,0.0,0.0,0,6,0,2
0,8,0.6458086999999892,0.6166138999999902,0.029194799999999077,31,0.0,0.0,0,14,0,2
0,9,0.24049349999999947,0.2208408999999989,0.019652600000000575,21,0.0,0.0,0,8,0,2
1,2,0.14342139999999404,0.12453479999999217,0.018886600000001863,20,0.0,0.0,0,0,0,2
1,3,0.27144370000000606,0.24854820000000188,0.022895500000004176,23,0.0,0.0,0,12,0,2
1,4,0.1935709999999915,0.1739106999999933,0.019660299999998188,21,0.0,0.0,0,4,0,2
1,5,0.15010330000001204,0.13113180000000568,0.01897150000000636,24,0.0,0.0,0,0,0,2
1,6,0.2100309000000209,0.1916239000000104,0.0184070000000105,19,0.0,0.0,0,8,0,2
1,7,0.32761769999999046,0.30919219999999825,0.018425499999992212,22,0.0,0.0,0,2,0,2
1,8,0.5321775000000031,0.5061950999999993,0.025982400000003736,28,0.0,0.0,0,18,0,2
1,9,0.15543789999999547,0.13900270000000603,0.016435199999989436,18,0.0,0.0,0,4,0,2
2,3,0.26705560000000617,0.2450079000000045,0.02204770000000167,21,0.0,0.0,0,12,0,2
2,4,0.1889454000000086,0.16922909999999547,0.01971630000001312,19,0.0,0.0,0,4,0,2
2,5,0.14724560000000508,0.1283789000000013,0.01886670000000379,22,0.0,0.0,0,0,0,2
2,6,0.18332930000001113,0.16540640000000906,0.017922900000002073,17,0.0,0.0,0,8,0,2
2,7,0.1998273000000097,0.18109400000000164,0.018733300000008057,20,0.0,0.0,0,2,0,2
2,8,0.47002510000000086,0.44525480000000073,0.024770300000000134,26,0.0,0.0,0,18,0,2
2,9,0.13487220000000377,0.11799309999999252,0.01687910000001125,16,0.0,0.0,0,4,0,2
3,4,0.35288099999998224,0.32897009999999227,0.023910899999989965,22,0.0,0.0,0,8,0,2
3,5,0.2726892999999819,0.24903619999999194,0.02365309999998999,25,0.0,0.0,0,12,0,2
3,6,0.26697699999999713,0.24376329999999768,0.02321369999999945,20,0.0,0.0,0,12,0,2
3,7,0.34066869999999483,0.31732959999999366,0.023339100000001167,23,0.0,0.0,0,14,0,2
3,8,0.4997912000000042,0.4700209000000086,0.029770299999995586,29,0.0,0.0,0,6,0,2
3,9,0.2603921999999983,0.23884069999999724,0.021551500000001056,19,0.0,0.0,0,16,0,2
4,5,0.20682059999998614,0.18497429999999326,0.02184629999999288,23,0.0,0.0,0,4,0,2
4,6,0.1755482000000086,0.15586980000000494,0.01967840000000365,18,0.0,0.0,0,4,0,2
4,7,0.26146260000000154,0.2414557999999971,0.020006800000004432,21,0.0,0.0,0,6,0,2
4,8,0.5713515999999998,0.5443922999999984,0.026959300000001463,27,0.0,0.0,0,14,0,2
4,9,0.18820510000000468,0.17009219999999914,0.01811290000000554,17,0.0,0.0,0,8,0,2
5,6,0.2394776999999948,0.22048300000000154,0.01899469999999326,21,0.0,0.0,0,8,0,2
5,7,0.31587339999998676,0.29698299999999733,0.018890399999989427,24,0.0,0.0,0,2,0,2
5,8,0.6361043000000137,0.6088531000000046,0.027251200000009135,30,0.0,0.0,0,18,0,2
5,9,0.18249000000000137,0.16505519999999763,0.017434800000003747,20,0.0,0.0,0,4,0,2
6,7,0.21267639999999233,0.19415010000000166,0.01852629999999067,19,0.0,0.0,0,8,0,2
6,8,0.37576280000000395,0.35039270000000045,0.025370100000003504,25,0.0,0.0,0,16,0,2
6,9,0.09505599999999959,0.08027189999999962,0.014784099999999967,15,0.0,0.0,0,4,0,2
7,8,0.328050300000001,0.3016973000000007,0.026353000000000293,28,0.0,0.0,0,16,0,2
7,9,0.24156959999999117,0.22482459999999094,0.016745000000000232,18,0.0,0.0,0,4,0,2
8,9,0.3724408000000068,0.3482991000000055,0.024141700000001265,24,0.0,0.0,0,20,0,2
0,1,0.5153162000000009,0.4776592999999991,0.03765690000000177,20,0.0,0.0,0,0,0,4
0,2,0.5697538000000009,0.5291047000000049,0.040649099999996,22,0.0,0.0,0,0,0,4
0,3,0.4209218999999962,0.3858953000000014,0.0350265999999948,20,0.0,0.0,0,0,0,4
0,4,0.5333129000000127,0.49584010000000944,0.0374728000000033,20,0.0,0.0,0,0,0,4
0,5,0.555917000000008,0.5203568999999959,0.035560100000012085,24,0.0,0.0,0,2,0,4
0,6,3.173162399999981,3.1340992999999884,0.0390630999999928,32,0.0,0.0,0,0,0,4
0,7,5.942386499999998,5.895663100000007,0.046723399999990534,40,0.0,0.0,0,0,0,4
0,8,0.6709011000000089,0.6345186000000069,0.03638250000000198,24,0.0,0.0,0,2,0,4
0,9,0.3204364000000055,0.28862490000000207,0.031811500000003434,19,0.0,0.0,0,0,0,4
1,2,0.566652199999993,0.5267490999999893,0.03990310000000363,22,0.0,0.0,0,0,0,4
1,3,0.4062285999999915,0.3714152000000013,0.034813399999990224,20,0.0,0.0,0,0,0,4
1,4,0.44486820000003036,0.40679350000002046,0.0380747000000099,20,0.0,0.0,0,0,0,4
1,5,0.6305437000000325,0.5954914000000144,0.03505230000001802,24,0.0,0.0,0,2,0,4
1,6,3.121186899999998,3.0796469,0.04153999999999769,32,0.0,0.0,0,0,0,4
1,7,5.862171999999987,5.81484549999999,0.04732649999999694,40,0.0,0.0,0,0,0,4
1,8,0.5874124999999992,0.5502141999999992,0.03719830000000002,24,0.0,0.0,0,2,0,4
1,9,0.38892640000000256,0.35722419999999033,0.031702200000012226,19,0.0,0.0,0,0,0,4
2,3,0.438393700000006,0.3987144000000171,0.03967929999998887,22,0.0,0.0,0,0,0,4
2,4,0.5842217999999946,0.541933599999993,0.04228820000000155,22,0.0,0.0,0,0,0,4
2,5,0.6562824999999748,0.6160673999999915,0.040215099999983295,26,0.0,0.0,0,2,0,4
2,6,3.522824199999974,3.4801202999999816,0.042703899999992245,34,0.0,0.0,0,0,0,4
2,7,6.17335829999999,6.118334599999997,0.05502369999999246,42,0.0,0.0,0,0,0,4
2,8,0.7274922000000004,0.6873910000000194,0.04010119999998096,26,0.0,0.0,0,2,0,4
2,9,0.5269485000000032,0.4905399000000159,0.036408599999987246,21,0.0,0.0,0,4,0,4
3,4,0.4304222000000095,0.3947584000000006,0.035663800000008905,20,0.0,0.0,0,0,0,4
3,5,0.4329038000000196,0.39974390000000426,0.03315990000001534,24,0.0,0.0,0,2,0,4
3,6,3.0000522000000274,2.962044700000007,0.0380075000000204,32,0.0,0.0,0,0,0,4
3,7,4.980706599999991,4.934754099999992,0.04595249999999851,40,0.0,0.0,0,0,0,4
3,8,0.6547061999999926,0.6109529000000009,0.04375329999999167,24,0.0,0.0,0,2,0,4
3,9,0.3127622999999744,0.28226549999999406,0.03049679999998034,19,0.0,0.0,0,4,0,4
4,5,0.5750642000000141,0.5394358000000068,0.03562840000000733,24,0.0,0.0,0,2,0,4
4,6,3.2146014999999863,3.1751448999999923,0.03945659999999407,32,0.0,0.0,0,0,0,4
4,7,6.029351899999995,5.972570499999989,0.05678140000000553,40,0.0,0.0,0,0,0,4
4,8,0.6833158000000026,0.6465360999999916,0.03677970000001096,24,0.0,0.0,0,2,0,4
4,9,0.32615100000001007,0.29368669999999497,0.0324643000000151,19,0.0,0.0,0,0,0,4
5,6,3.279288000000008,3.2410422000000096,0.03824579999999855,36,0.0,0.0,0,2,0,4
5,7,5.3145252999999855,5.2688633999999865,0.04566189999999892,44,0.0,0.0,0,2,0,4
5,8,0.6442547000000047,0.6095511999999985,0.034703500000006215,28,0.0,0.0,0,0,0,4
5,9,0.4886008000000288,0.4581519000000185,0.030448900000010326,23,0.0,0.0,0,6,0,4
6,7,9.687973300000039,9.63330910000002,0.054664200000019036,52,0.0,0.0,0,0,0,4
6,8,3.4603017000000023,3.4209347000000037,0.0393669999999986,36,0.0,0.0,0,2,0,4
6,9,2.525437100000005,2.4903833999999847,0.03505370000002017,31,0.0,0.0,0,0,0,4
7,8,6.3271885999999995,6.280502200000001,0.046686399999998685,44,0.0,0.0,0,2,0,4
7,9,5.049969400000009,5.005494300000009,0.04447509999999966,39,0.0,0.0,0,4,0,4
8,9,0.3833737999999869,0.3511507999999992,0.03222299999998768,23,0.0,0.0,0,2,0,4
0,1,0.5117818999999599,0.4744256999999834,0.037356199999976525,29,0.0,0.0,0,6,0,2
0,2,0.36991159999996626,0.3461694999999736,0.02374209999999266,24,0.0,0.0,0,20,0,2
0,3,0.48169409999997015,0.45552329999998165,0.026170799999988503,27,0.0,0.0,0,14,0,2
0,4,0.7286575000000539,0.7005779000000416,0.028079600000012306,31,0.0,0.0,0,14,0,2
0,5,0.5740369000000669,0.5436076000000298,0.030429300000037074,31,0.0,0.0,0,6,0,2
0,6,0.533769300000074,0.5081800000000385,0.025589300000035564,28,0.0,0.0,0,18,0,2
0,7,0.6413029999999935,0.6139679999999998,0.02733499999999367,30,0.0,0.0,0,18,0,2
0,8,0.5690212000000088,0.5440290000000232,0.024992199999985587,26,0.0,0.0,0,18,0,2
0,9,0.32976350000001275,0.30396660000002385,0.02579689999998891,26,0.0,0.0,0,16,0,2
1,2,0.26710819999993873,0.24508909999997286,0.022019099999965874,19,0.0,0.0,0,16,0,2
1,3,0.27698200000003226,0.2515622000000235,0.025419800000008763,22,0.0,0.0,0,8,0,2
1,4,0.2898647000000665,0.2642284000000359,0.025636300000030587,26,0.0,0.0,0,8,0,2
1,5,0.26721319999995785,0.23714899999998806,0.030064199999969787,26,0.0,0.0,0,0,0,2
1,6,0.27502019999997174,0.25197579999996833,0.023044400000003407,23,0.0,0.0,0,12,0,2
1,7,0.2781274999999823,0.2545939999999973,0.023533499999984997,25,0.0,0.0,0,12,0,2
1,8,0.2728109999999333,0.250058499999966,0.022752499999967313,21,0.0,0.0,0,12,0,2
1,9,0.38559060000000045,0.3626279999999724,0.022962600000028033,21,0.0,0.0,0,14,0,2
2,3,0.19203200000004017,0.17382520000001023,0.018206800000029943,17,0.0,0.0,0,8,0,2
2,4,0.25230920000001333,0.23295410000002903,0.019355099999984304,21,0.0,0.0,0,8,0,2
2,5,0.2900659000000019,0.2682305999999812,0.021835300000020652,21,0.0,0.0,0,16,0,2
2,6,0.16071209999995517,0.14385719999995672,0.01685489999999845,18,0.0,0.0,0,4,0,2
2,7,0.1866084000000683,0.16885080000002972,0.017757600000038565,20,0.0,0.0,0,4,0,2
2,8,0.13825769999999693,0.12185299999998733,0.016404700000009598,16,0.0,0.0,0,4,0,2
2,9,0.14113509999998541,0.12465779999996585,0.016477300000019568,16,0.0,0.0,0,4,0,2
3,4,0.18651849999997694,0.16497119999996812,0.021547300000008818,24,0.0,0.0,0,0,0,2
3,5,0.2792772000000241,0.25413389999999936,0.025143300000024738,24,0.0,0.0,0,8,0,2
3,6,0.19617560000000367,0.1758719000000042,0.02030369999999948,21,0.0,0.0,0,4,0,2
3,7,0.20170389999998406,0.18079849999998032,0.020905400000003738,23,0.0,0.0,0,4,0,2
3,8,0.19041310000000067,0.1709357999999952,0.01947730000000547,19,0.0,0.0,0,4,0,2
3,9,0.23263400000001866,0.21282380000002377,0.019810199999994893,19,0.0,0.0,0,6,0,2
4,5,0.3704650999999899,0.343640999999991,0.026824099999998907,28,0.0,0.0,0,8,0,2
4,6,0.20863520000000335,0.18750610000000734,0.021129099999996015,25,0.0,0.0,0,4,0,2
4,7,0.21358079999998836,0.19235270000001492,0.021228099999973438,27,0.0,0.0,0,4,0,2
4,8,0.19684089999998378,0.17630279999997356,0.020538100000010218,23,0.0,0.0,0,4,0,2
4,9,0.3339738999999895,0.31320490000001655,0.020768999999972948,23,0.0,0.0,0,6,0,2
5,6,0.2906050999999934,0.2662179000000151,0.024387199999978293,25,0.0,0.0,0,12,0,2
5,7,0.28507450000000745,0.25997460000002093,0.02509989999998652,27,0.0,0.0,0,12,0,2
5,8,0.27954750000003514,0.2548484000000144,0.024699100000020735,23,0.0,0.0,0,12,0,2
5,9,0.35058539999999994,0.3256178000000318,0.024967599999968115,23,0.0,0.0,0,14,0,2
6,7,0.15432490000006283,0.13395840000004,0.020366500000022825,24,0.0,0.0,0,0,0,2
6,8,0.15758809999999812,0.1395666000000233,0.01802149999997482,20,0.0,0.0,0,0,0,2
6,9,0.2025940999999989,0.1828322000000071,0.019761899999991783,20,0.0,0.0,0,2,0,2
